Fire_Lons,Fire_Lats
143.459,-15.368
143.172,-15.409
142.895,-15.448
142.802,-15.461
142.707,-15.475
142.692,-15.477
142.371,-15.521
142.355,-15.523
142.224,-15.541
142.207,-15.544
142.191,-15.546
141.716,-15.61
141.699,-15.613
141.681,-15.615
141.646,-15.62
141.629,-15.622
141.611,-15.624
144.544,-15.196
143.937,-15.287
143.554,-15.343
143.224,-15.391
142.793,-15.454
142.761,-15.458
142.698,-15.467
142.379,-15.513
142.314,-15.522
142.297,-15.525
142.215,-15.536
142.182,-15.541
142.116,-15.55
141.708,-15.608
141.691,-15.61
141.656,-15.615
141.638,-15.617
141.621,-15.62
141.603,-15.622
143.788,-15.295
143.744,-15.301
143.596,-15.323
143.462,-15.343
143.417,-15.349
142.853,-15.431
142.791,-15.44
142.728,-15.449
142.506,-15.481
142.36,-15.501
142.064,-15.543
141.98,-15.555
141.929,-15.562
141.706,-15.593
141.689,-15.595
141.671,-15.598
141.654,-15.6
141.636,-15.603
141.619,-15.605
141.601,-15.608
143.786,-15.282
143.771,-15.284
143.757,-15.286
143.742,-15.288
143.505,-15.323
143.49,-15.325
143.475,-15.327
143.25,-15.36
142.867,-15.415
142.851,-15.417
142.835,-15.419
142.82,-15.422
142.804,-15.424
142.679,-15.442
142.663,-15.444
142.615,-15.451
142.599,-15.453
142.358,-15.487
142.342,-15.489
142.112,-15.522
141.944,-15.545
141.927,-15.548
141.704,-15.578
141.687,-15.581
141.669,-15.583
141.652,-15.586
141.634,-15.588
141.617,-15.591
141.599,-15.593
141.581,-15.595
141.564,-15.598
141.546,-15.6
141.457,-15.612
143.96,-15.242
143.945,-15.244
143.769,-15.27
143.755,-15.272
143.503,-15.309
143.428,-15.32
142.833,-15.405
142.802,-15.41
142.739,-15.419
142.724,-15.421
142.708,-15.423
142.692,-15.426
142.676,-15.428
142.661,-15.43
142.549,-15.446
142.421,-15.464
142.193,-15.496
142.126,-15.505
142.093,-15.51
142.076,-15.512
141.993,-15.524
141.976,-15.526
141.959,-15.528
141.942,-15.531
141.925,-15.533
141.908,-15.535
141.702,-15.564
141.684,-15.566
141.667,-15.569
141.65,-15.571
141.632,-15.574
141.615,-15.576
141.579,-15.581
141.562,-15.583
141.544,-15.586
141.526,-15.588
141.509,-15.59
141.455,-15.598
143.928,-15.233
143.826,-15.248
143.59,-15.283
